TWAP Cost,USD Cost
955181.5238409344,1000000
949704.802879851,1000000
900795.0160693878,1000000
1004006.5140976578,1000000
976621.2572597512,1000000
881813.0552313159,1000000
1039924.4851295513,1000000
961836.5426291076,1000000
1025471.0785187135,1000000
920858.7567449206,1000000
927612.3229034457,1000000
1195726.331605631,1000000
1201449.2043673063,1000000
894581.6154146863,1000000
944456.2435572434,1000000
854672.1540086288,1000000
873040.1774500477,1000000
1037368.2914759945,1000000
978781.0038329561,1000000
988118.9878910749,1000000
953833.6745630851,1000000
1032324.8031837904,1000000
1018674.4780358255,1000000
1052488.9512769708,1000000
1101935.006457018,1000000
816141.3477259101,1000000
969081.5085192247,1000000
1129088.9809544752,1000000
902890.8932783531,1000000
943006.48953642,1000000
856413.4994079679,1000000
941744.5371572757,1000000
1016018.1094662449,1000000
1174006.6933240113,1000000
1007085.2829120451,1000000
858529.343793783,1000000
962176.6779706299,1000000
1028526.8568859412,1000000
882505.0868133439,1000000
867212.4897207321,1000000
888899.9733283522,1000000
985130.6980087833,1000000
874529.4196604794,1000000
1097761.118947958,1000000
1032459.4324514165,1000000
803546.2126176463,1000000
1019579.1897939438,1000000
1059276.2536989034,1000000
949771.3036964623,1000000
1086715.9182131882,1000000
784801.7921537613,1000000
1038869.7188641818,1000000
985183.5233460638,1000000
1043553.9773839316,1000000
1108028.8032779417,1000000
1075740.4386679463,1000000
1083128.7521946805,1000000
1223780.4515390059,1000000
869082.967857863,1000000
770492.6576542797,1000000
873067.5773341814,1000000
956307.5310857251,1000000
991441.191618963,1000000
1154760.878855203,1000000
1081918.4428489236,1000000
1137536.6516016647,1000000
1145785.278960632,1000000
1071007.470599558,1000000
1062751.3091076862,1000000
1018966.6327134562,1000000
865230.5309716873,1000000
996538.30696221,1000000
1026450.8700216981,1000000
927400.7845513968,1000000
957602.4297160904,1000000
1162001.9992356591,1000000
1026743.1438955666,1000000
1009213.714337469,1000000
797582.7565795243,1000000
934725.4020662538,1000000
1035202.7601309494,1000000
914712.6193141768,1000000
963456.5030485515,1000000
1066148.4377539917,1000000
1117099.795376322,1000000
925099.1210964139,1000000
1020966.1624948783,1000000
847904.8503918881,1000000
1085082.2742888571,1000000
911733.2218766966,1000000
1101522.055159204,1000000
956407.0817944232,1000000
1072917.3400335063,1000000
919939.4275000371,1000000
863195.4869520034,1000000
1030752.6947505906,1000000
1461901.6569504766,1000000
1041025.3769071904,1000000
865754.7351411178,1000000
1187572.314157434,1000000
899253.3938244871,1000000
1057564.915247862,1000000
895981.8589708544,1000000
1095805.8380387984,1000000
901864.4816005728,1000000
1034173.292180912,1000000
954128.9660757125,1000000
843443.2594808434,1000000
853442.9446793293,1000000
1008530.0497048936,1000000
1008046.4672862717,1000000
1064442.554487767,1000000
888768.4370383958,1000000
1151577.9781431758,1000000
1012309.4809112897,1000000
932388.8593908964,1000000
958144.2220384921,1000000
981100.1564756986,1000000
816493.7607312973,1000000
913721.2872039409,1000000
1041252.3756398589,1000000
884160.8323779864,1000000
1132642.9509308934,1000000
1167776.5903034084,1000000
1117417.2284622174,1000000
936249.0601532205,1000000
1203783.4340619533,1000000
946961.0310690285,1000000
959100.6450783374,1000000
